SITE_CODE,PARAMETER_NAME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIONATION_PROTOCOL,ANALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT,CAMPAIGN_NAME_SHORT,CAMPAIGN_NAME,CAMPAIGN_START_DATE,CAMPAIGN_END_DATE,RELIABILITY_SCORE,RELIABILITY_EVAL_SYS,CONFIDENTIALITY_EXPIRY_DATE,ORGANISATION,ENTERED_BY,ENTERED_DATE,CAMPAIGN_COMMENT
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,7,,28.5,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 7,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,8,,27,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 8,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,9,,24.5,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 9,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,10,,30.5,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 10,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,11,,30.5,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 11,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,12,,30,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 12,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,13,,27,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 13,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,14,,29,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 14,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,15,,33,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 15,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,16,,35.5,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 16,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,17,,32,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 17,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,18,,30.5,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 18,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,19,,30,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 19,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,20,,32,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 20,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,2,,26,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 2,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,3,,26,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 3,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,4,,25.5,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 4,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,5,,26,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 5,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,6,,26,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 6,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,7,,26,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 7,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,8,,30,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 8,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,9,,26,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 9,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,10,,25.5,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 10,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,11,,26,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 11,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,12,,26,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 12,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,13,,26,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 13,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,14,,25.5,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 14,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,15,,25,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 15,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,16,,25,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 16,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,17,,24,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 17,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,18,,23,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 18,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,19,,23,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 19,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 6,Copper,06/11/2016,Aquatic Sediment,20,,23,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 20,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
